country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,cbs_gm_code,municipality,value,unit,source_name,provenance_ref,comparability_status
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0014,GM0014,Groningen,15.377057,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0034,GM0034,Almere,13.202738,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0037,GM0037,Stadskanaal,25.903221,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0047,GM0047,Veendam,23.895568,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0050,GM0050,Zeewolde,15.169678,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0059,GM0059,Achtkarspelen,21.261857,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0060,GM0060,Ameland,24.479167,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0072,GM0072,Harlingen,26.507289,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0074,GM0074,Heerenveen,22.830528,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0080,GM0080,Leeuwarden,19.43135,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0085,GM0085,Ooststellingwerf,25.606688,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0086,GM0086,Opsterland,23.11506,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0088,GM0088,Schiermonnikoog,29.633401,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0090,GM0090,Smallingerland,22.286,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0093,GM0093,Terschelling,24.269481,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0096,GM0096,Vlieland,19.984508,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0098,GM0098,Weststellingwerf,24.898931,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0106,GM0106,Assen,21.39626,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0109,GM0109,Coevorden,25.781513,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0114,GM0114,Emmen,24.084954,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0118,GM0118,Hoogeveen,22.587848,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0119,GM0119,Meppel,20.685766,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0141,GM0141,Almelo,20.46816,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
netherlands,age65,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0147,GM0147,Borne,22.259827,percent,CBS StatLine 03759NED Bevolking op 1 januari by age,provenance/netherlands_age65_manifest.json,family_mapped
