country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,cbs_gm_code,municipality,value,unit,source_name,provenance_ref,comparability_status
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0014,GM0014,Groningen,35.6,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0034,GM0034,Almere,39.2,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0037,GM0037,Stadskanaal,33.7,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0047,GM0047,Veendam,34.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0050,GM0050,Zeewolde,40.6,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0059,GM0059,Achtkarspelen,34.0,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0060,GM0060,Ameland,36.2,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0072,GM0072,Harlingen,34.7,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0074,GM0074,Heerenveen,39.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0080,GM0080,Leeuwarden,34.8,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0085,GM0085,Ooststellingwerf,35.7,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0086,GM0086,Opsterland,38.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0088,GM0088,Schiermonnikoog,36.3,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0090,GM0090,Smallingerland,35.8,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0093,GM0093,Terschelling,40.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0096,GM0096,Vlieland,38.9,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0098,GM0098,Weststellingwerf,35.7,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0106,GM0106,Assen,36.3,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0109,GM0109,Coevorden,37.3,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0114,GM0114,Emmen,34.7,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0118,GM0118,Hoogeveen,36.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0119,GM0119,Meppel,38.3,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0141,GM0141,Almelo,37.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0147,GM0147,Borne,41.2,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0148,GM0148,Dalfsen,40.8,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0150,GM0150,Deventer,37.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0153,GM0153,Enschede,35.4,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0158,GM0158,Haaksbergen,41.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0160,GM0160,Hardenberg,38.6,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0163,GM0163,Hellendoorn,40.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0164,GM0164,Hengelo,36.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0166,GM0166,Kampen,36.8,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0168,GM0168,Losser,38.1,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0171,GM0171,Noordoostpolder,37.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0173,GM0173,Oldenzaal,39.0,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0175,GM0175,Ommen,40.0,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0177,GM0177,Raalte,40.2,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0180,GM0180,Staphorst,40.2,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0183,GM0183,Tubbergen,42.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0184,GM0184,Urk,39.3,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
netherlands,income,2023,2023,cbs-gemeentelijke-indeling-2023,municipality,0189,GM0189,Wierden,46.5,thousand_euro,CBS StatLine 70072NED Gemiddeld gestandaardiseerd inkomen,provenance/netherlands_income_manifest.json,family_mapped
