country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,cbs_gm_code,municipality,value,unit,source_name,provenance_ref,comparability_status
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0014,GM0014,Groningen,1284,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0034,GM0034,Almere,1725,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0037,GM0037,Stadskanaal,273,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0047,GM0047,Veendam,364,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0050,GM0050,Zeewolde,96,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0059,GM0059,Achtkarspelen,275,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0060,GM0060,Ameland,68,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0072,GM0072,Harlingen,649,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0074,GM0074,Heerenveen,272,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
netherlands,population_density,2023,2023-01-01,cbs-gemeentelijke-indeling-2023,municipality,0080,GM0080,Leeuwarden,535,people_per_km2_land,CBS StatLine 70072NED Bevolkingsdichtheid,provenance/netherlands_population_density_manifest.json,country_local
