country_id,election_type,election_year,geography_version,public_geography_type,public_geography_id,municipality,source_municipality,province,eligible_voters,turnout,valid_votes,blank_votes,invalid_votes,raw_turnout_pct,turnout_reconciles,turnout_exceeds_eligible_voters,audit_status,not_live_factor_reason,source_name,provenance_ref
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0014,Groningen,Groningen,Groningen,183403,147263,146649,314,300,80.294761,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0034,Almere,Almere,Flevoland,156188,105355,104685,291,379,67.453966,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0037,Stadskanaal,Stadskanaal,Groningen,25828,19408,19335,34,39,75.143255,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0047,Veendam,Veendam,Groningen,22159,16511,16441,33,37,74.511485,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0050,Zeewolde,Zeewolde,Flevoland,17340,14429,14376,33,20,83.212226,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0059,Achtkarspelen,Achtkarspelen,Fryslân,22141,17919,17857,31,31,80.931304,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0060,Ameland,Ameland,Fryslân,2977,3290,3279,6,5,110.51394,true,true,blocked_over_100_percent,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0072,Harlingen,Harlingen,Fryslân,12825,10181,10125,27,29,79.384016,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0074,Heerenveen,Heerenveen,Fryslân,40859,32764,32637,69,58,80.187963,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
netherlands,tweede_kamer,2023,cbs-gemeentelijke-indeling-2023,municipality,0080,Leeuwarden,Leeuwarden,Fryslân,99600,77265,76929,204,132,77.575301,true,false,field_reconciled_not_promoted,Opkomst can exceed Kiesgerechtigden in island municipalities; denominator wording is not explicit enough for a live turnout factor.,Kiesraad/data.overheid.nl TK2023_uitslag.csv turnout fields,provenance/netherlands_tk_normalization_manifest.json
